"","PETR4.SA.Open","PETR4.SA.High","PETR4.SA.Low","PETR4.SA.Close","PETR4.SA.Volume","PETR4.SA.Adjusted"
"1",30.51,30.700001,30.309999,30.700001,37774500,14.581379
"2",30.879999,31.24,30.450001,30.450001,71595600,14.462638
"3",30.43,30.940001,29.950001,30.809999,81844000,14.633626
"4",30.82,30.879999,30.469999,30.690001,32822000,14.576631
"5",30.690001,30.77,30.24,30.5,48215600,14.486388
"6",30.469999,30.620001,30.25,30.4,36102700,14.438893
"7",30.389999,30.440001,30.129999,30.27,25397500,14.377142
"8",30.35,30.43,30.209999,30.33,30676800,14.405644
"9",30.23,30.27,29.77,30,39796500,14.248906
"10",29.9,29.93,29.540001,29.549999,34405700,14.035171
"11",29.6,29.700001,29.33,29.52,28997400,14.020924
"12",29.719999,29.85,29.540001,29.85,34908000,14.17766
"13",29.700001,30.1,29.65,30,31241400,14.248906
"14",29.799999,29.940001,29.549999,29.620001,28577400,14.068419
"15",29.73,29.809999,29.27,29.290001,32491500,13.911683
"16",29.09,29.76,28.82,29.65,53752100,14.082668
"17",29.559999,29.780001,29.139999,29.299999,36898700,13.916431
"18",28.629999,28.639999,27.67,28.030001,66105300,13.313227
"19",28.43,29.139999,28.42,28.799999,47259100,13.678947
"20",29,29.08,28.67,28.85,42297500,13.702695
"21",28.280001,29.040001,28.18,28.940001,44266800,13.745444
"22",28.629999,28.84,28.309999,28.450001,55446700,13.512711
"23",28.52,28.73,28.16,28.18,39452800,13.384472
"24",28.65,29.040001,28.559999,28.629999,57658400,13.598207
"25",29.049999,29.219999,28.389999,28.389999,67994500,13.484213
"26",28.700001,29.51,28.120001,29.18,126114000,13.859437
"27",29,29.35,28.73,28.93,54514600,13.740695
"28",28.889999,29.129999,28.639999,29.129999,45328100,13.835688
"29",29.4,29.629999,29.26,29.48,37518200,14.001924
"30",29.639999,30.280001,29.629999,30.129999,64851000,14.310649
"31",29.77,30.209999,29.639999,29.719999,55277100,14.115915
"32",29.860001,29.959999,29.34,29.42,30399900,13.973426
"33",29.629999,29.77,29.309999,29.360001,38684900,13.944927
"34",29.059999,29.77,28.950001,29.75,33890900,14.130163
"35",29.870001,30.549999,29.76,30.549999,44181800,14.510135
"36",30.799999,30.889999,29.75,29.92,73522900,14.210908
"37",29.51,29.68,29.030001,29.139999,47805100,13.840437
"38",27.040001,27.389999,26.030001,26.209999,89207100,12.448794
"39",25.719999,26.530001,24.889999,25.299999,100112100,12.016576
"40",25.16,25.559999,24.620001,25.34,89095300,12.035576
"41",25.5,26.75,25.48,26.530001,71596400,12.60078
"42",26.57,27.48,25.76,26.049999,86855700,12.372799
"43",26.91,26.940001,26.24,26.889999,42320500,12.771769
"44",26.33,26.67,24.709999,25.290001,69722300,12.011827
